"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Dinosauria&taxon_reso=species&idqual=certain&pres=regular&interval=Triassic,Cretaceous&show=acconly"
"Access Time","Wed 2019-06-12 10:22:05 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Dinosauria"
"","idreso","species"
"","idqual","certain"
"","interval","Triassic,Cretaceous"
"","timerule","major"
"","taxon_status","all"
"","pres","regular"
"","show","acconly"
"Elapsed Time","0.428"
"Records Found","3189"
"Records Returned","3189"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"297299","occ","","","28458","Ilokelesia aguadagrandensis","species","54532","Late Cenomanian","Turonian","99.6","89.8","7846"
"297301","occ","13609","","28460","Giganotosaurus carolinii","species","54541","Early Cenomanian","","99.6","93.5","7848"
"297302","occ","17917","","28461","Aucasaurus garridoi","species","54524","Early Campanian","Middle Campanian","83.5","70.6","7849"
"297555","occ","","","28534","Piatnitzkysaurus floresi","species","54827","Late Toarcian","Early Bajocian","180.1","168.4","7879"
"297556","occ","","","28534","Patagosaurus fariasi","species","66448","Late Toarcian","Early Bajocian","180.1","168.4","7879"
"297557","occ","","","28534","Volkheimeria chubutensis","species","66449","Late Toarcian","Early Bajocian","180.1","168.4","7879"
"297562","occ","","","28536","Patagosaurus fariasi","species","66448","Late Toarcian","Early Bajocian","180.1","168.4","7879"
"297616","occ","","","28548","Anchiceratops ornatus","species","63447","Maastrichtian","","72.1","66","7884"
"297697","occ","17830","","28569","Lurdusaurus arenatus","species","64411","Albian","","113","100.5","7886"
"297698","occ","13368","","28570","Lesothosaurus diagnosticus","species","57574","Hettangian","Sinemurian","201.3","190.8","12660"
"297836","occ","13367","","28613","Lesothosaurus diagnosticus","species","57574","Hettangian","Sinemurian","201.3","190.8","12660"
"298934","occ","21965","","28406","Lirainosaurus astibiae","species","65827","Late Campanian","","83.5","70.6","9559"
"300498","occ","34299","","28919","Psittacosaurus mongoliensis","species","52831","Early Cretaceous","","145","100.5","64010"
"301074","occ","","","13307","Enantiornis leali","species","53307","Early Maastrichtian","","70.6","66","6050"
"301092","occ","","","28401","Echinodon becklesii","species","58901","Middle Berriasian","","145","140.2","8338"
"343790","occ","22640","","32324","Albalophosaurus yamaguchiorum","species","161140","Valanginian","","139.8","132.9","31493"
